created_at,id,text_raw,source
Fri Dec 13 12:35:38 +0800 2024,5.1111E+15,破站搜【宇宙机器人】，看TGA颁奖回放及各大UP主解析,来自福建
Fri Dec 13 12:04:46 +0800 2024,5.11109E+15,真是抽象到家了 哈哈哈哈哈 最搞笑的结局[doge][doge],来自河南
Fri Dec 13 12:45:48 +0800 2024,5.1111E+15,要是说18年不给大表哥  有点理由  但不多， 今年这么一弄 直接摊牌了不演了属于,来自山东
Fri Dec 13 12:18:54 +0800 2024,5.1111E+15,太可怕了，猴粉要去网暴机器人粉丝了，但他们找不到机器人粉丝,来自广东
Fri Dec 13 12:04:17 +0800 2024,5.11109E+15,还不如选《小丑牌》。,来自山东
Fri Dec 13 12:06:06 +0800 2024,5.11109E+15,已知机器人拿了年度，马力欧没有年度，那机器人一定比马力欧好玩吧[嘻嘻],来自广东
Fri Dec 13 12:07:00 +0800 2024,5.11109E+15,tga证明了自己的含金量[可爱],来自天津
Fri Dec 13 12:05:41 +0800 2024,5.11109E+15,太抽象了，全屏问号。。前面各种叠甲的时候还以为是暗示法环DLC，结果蹦出个小机器人 http://t.cn/A6mRvAZB,来自江苏
Fri Dec 13 12:05:21 +0800 2024,5.11109E+15,sony充了多少钱?,来自中国香港
Fri Dec 13 12:13:35 +0800 2024,5.11109E+15,今年确实是小年确实选择困难 但这基本是选了一个最不服众的[笑cry]太幽默了,来自北京
Fri Dec 13 12:13:51 +0800 2024,5.11109E+15,图片评论 http://t.cn/A6mRvpVt,来自江苏
Fri Dec 13 12:10:45 +0800 2024,5.11109E+15,Tga最后一届了，索没打钱我是不信的,来自云南
Fri Dec 13 12:13:37 +0800 2024,5.11109E+15,a or b选了个 or,来自四川
Fri Dec 13 12:05:02 +0800 2024,5.11109E+15,不如星鸣特工,来自浙江
Fri Dec 13 12:20:57 +0800 2024,5.1111E+15,图片评论 http://t.cn/A6mRvFBb,来自四川
Fri Dec 13 12:11:54 +0800 2024,5.11109E+15,输别的是可惜，输这个 是可笑了,来自江苏
Fri Dec 13 12:03:36 +0800 2024,5.11109E+15,拉（指tga）,来自湖北
Fri Dec 13 12:18:37 +0800 2024,5.1111E+15,星鸣特攻还是死早了，但凡留着运营，哪怕到现在只有一个在线玩家，那也妥妥年度最佳。毕竟销量不重要，1个人玩也可以[二哈],来自山东
Fri Dec 13 12:14:09 +0800 2024,5.11109E+15,我是真不知道这个宇宙机器人有什么含金量，PC都没上的游戏，不配PS5手柄根本没感觉，但凡这个家庭游戏质量能有双人成行丰富我都不说什么[汗],来自新疆
Fri Dec 13 12:32:02 +0800 2024,5.1111E+15,你们电脑能运行TGA年度最佳游戏吗？你们电脑能运行TGA年度最佳游戏吗？你们电脑能运行TGA年度最佳游戏吗？你们电脑能运行TGA年度最佳游戏吗？你们电脑能运行TGA年度最佳游戏吗？你们电脑能运行TGA年度最佳游戏吗？,来自北京
Fri Dec 13 12:50:51 +0800 2024,5.1111E+15,《 #败犬女主要年度了 》《胆大党牛逼》《迷宫饭其实也行》《我糙你的，奶龙是什么》,来自上海
Fri Dec 13 12:08:14 +0800 2024,5.11109E+15,牛逼，弹幕最多的打法[哈哈],来自广东
Fri Dec 13 12:03:44 +0800 2024,5.11109E+15,可惜咯,来自广东
Fri Dec 13 12:23:22 +0800 2024,5.1111E+15,Tencent也办一个吧 也能叫TGA,来自日本
