created_at,text_raw,source,name,content,blogger_name,likes,comment_num,repost_num
,,,,"【#文科消亡成为一股全球性浪潮#】#为何全世界都在拿文科专业开刀# 哈佛大三学生安吉丽娜发现，自己选修的一门秋季研讨课从课表中消失了，她本以为是教学网站出现了技术性问题，直到她发现了，并不只有她遇上了这个问题。 在今年秋季，哈佛本科生学院取消了至少30门课程，涉及20多个系。无一例外，这些大多是文科专业，消息一出，立刻在全世界引起了广泛热议，但只有少数学院负责人对此作出了回应，理由无非是教师请假、离职或者转入其他项目。但在安吉丽娜看来，这只是一种托辞。她告诉@南风窗 ，她猜测，这一决定可能与艺术与人文学院之前要求学生提前一个学期注册课程的新政策有关。也许在当时，学院就想通过提前确定课程注册人数，进行某种优化。在众多文科专业中，历史与文学的研讨课受到影响最大，被取消的课程包括“从莎士比亚到杜阿·利帕的英国软实力”“购物中心的马克思：消费文化及其批评”“全球变性史”“北美土著性别与性”“拉丁美洲种族的形成”以及“全球资本主义历史”。对于感兴趣的学生而言，他们几乎难以在课表中翻出替代品。 即便是哈佛大学，也不得不面对所谓“文科衰败”后的世界。在2022年，哈佛只有7%的新生计划主修人文学科。像研讨课这类本就是旨在运用小班化特质，拓展互动深度的课程，也因为过于小众面临被腰斩的境地。 文科消亡，在全世界形成了一股浪潮。不少国家就面临着人文学科专业毕业人数不断下降的问题。当新冠疫情的爆发、财政压力进一步加大时，诸多高校都选择对“边缘学科”开刀。美国、英国、澳大利亚、韩国，包括中国，都在这场文科取消潮中经历着不同程度的颠簸。#洞见计划# ",南风窗,38000,2768,2690
2024/12/28 0:42,人文学科不太可能消亡 因为它有其特有的价值 也许需要的是变革,来自北京,夏戴草帽_冬穿棉袄,
2024/12/28 0:40,“无一例外，这些大多是”[黑线],来自比利时,不管他们承诺什么大喊什么,,,,,
2024/12/28 11:20,文科和理科，不是对立的哦。,来自河北,呆萌Demon,,,,,
2024/12/28 11:51,科学研究很重要，但文科消失只能说明人类社会的发展在走下坡路，因为没有精力支撑精神发展，就像以前的人吃不起饭也顾不上其他烦恼,来自上海,AA快乐批发,,,,,
2024/12/28 11:06,不能说文科消亡，文科在演变，变得更适合现在的社会,来自广东,乱梦响马,,,,,
2024/12/28 11:53,文化力量的缺失，将会走向另一种野蛮,来自山西,你的羽翼很温暖,,,,,
2024/12/28 11:19,应该是人文社科需要革新，一些人文社科的课程理论太陈旧、腐朽,来自河南,失落星空v,,,,,
2024/12/28 11:37,都学理科，都是工具人，成为不了有思想的人[汗],来自广西,不写书的笑笑生,,,,,
2024/12/28 11:39,“无一例外，大多是文科专业”，就冲小编这个文字水平，文科就很有存在必要,来自内蒙古,伊壁鸠鲁氏,,,,,
2024/12/28 11:36,为什么要人为区分文理呢？人不应该全面发展吗,来自广东,康帅大大,,,,,
2024/12/28 11:25,终有一天大家都会变成三体人,来自上海,windyier,,,,,
2024/12/28 11:51,文科永远不会消亡，只会改革：理科领域要写论文，没有文科成吗？一个人只精通数理化，不精读莎士比亚，不读罗马史诗，不融通诗经、论话……不是一个完整的人。,来自河南,笔耕太行,,,,,
2024/12/28 11:59,这个世界太急功近利啦！[嘻嘻][嘻嘻],来自陕西,张闳祎,,,,,
2024/12/28 12:00,可以说“文科衰败”，但不能直接说“文科消亡”吧[淡淡的][淡淡的][淡淡的][跪了][跪了][跪了][跪了],来自四川,默默大黄猫,,,,,
2024/12/28 11:49,这话题也是文科人自己搞的吧,来自北京,大脑超频计划Official,,,,,
2024/12/28 13:57,人们只管填饱肚子，不注重精神，所以文科消失了。,来自重庆,微微说不,,,,,
2024/12/28 12:01,思想和信仰永不过时,来自江苏,历史小马,,,,,
2024/12/28 11:50,一段话想半天，一个chat GTP几秒钟生成,来自广东,Sammy赵阿楠,,,,,
2024/12/28 11:42,意思是不建议文理分科，人要全面发展,来自北京,深舣蒹葭,,,,,
