source,anger😡,disgust🤮,happiness😁,like😘,sadness😭,surprise😲
来自上海,0,0,5,2,4,0
来自中国香港,0,0,1,0,0,0
来自云南,1,0,0,0,0,0
来自加拿大,0,0,0,0,1,0
来自北京,0,0,2,0,5,0
来自吉林,0,0,2,1,1,0
来自四川,1,1,20,10,7,0
来自天津,1,0,2,0,0,0
来自安徽,0,0,1,0,0,0
来自山东,0,0,8,9,7,1
来自山西,0,0,6,0,2,0
来自广东,2,1,18,16,7,0
来自江苏,2,0,9,6,2,0
来自河北,0,0,3,3,0,0
来自河南,0,0,5,15,9,0
来自浙江,0,0,9,9,4,0
来自海南,0,0,1,0,0,0
来自湖北,0,0,4,1,1,0
来自湖南,0,0,5,2,0,0
来自澳大利亚,0,0,0,0,1,0
来自甘肃,0,0,0,3,2,0
来自福建,1,0,3,1,3,0
来自美国,0,0,1,0,0,0
来自贵州,0,0,2,0,1,1
来自辽宁,1,0,1,1,1,0
来自重庆,1,0,7,11,10,0
来自陕西,0,0,4,2,0,0
来自黑龙江,0,0,2,1,3,0
